Value,AFRICA_2024_DynamicWorld_2024_36NYJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NYJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYJ_M_R,AFRICA_2024_WorldCover_2021_36NYJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,Water
57,NULL,NULL,Wetland,NULL,Wetland,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL
59,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
61,NULL,NULL,Wetland,Water,Wetland,NULL
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Wetland,Water,Wetland,Bareland
65,NULL,NULL,Wetland,Water,Wetland,Water
66,NULL,NULL,Wetland,Water,Wetland,Forest
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL
84,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
93,NULL,NULL,Built-up,NULL,Non_Wetland,Water
94,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Built-up,Water,Non_Wetland,NULL
99,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,Water
101,NULL,NULL,Water,NULL,Water,NULL
102,NULL,NULL,Water,NULL,Water,Grassland
103,NULL,NULL,Water,Non_Water,Water,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
108,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
113,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
117,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
118,NULL,Cropland,NULL,Water,Non_Wetland,Forest
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
