Value,AFRICA_2024_DynamicWorld_2024_37QDU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QDU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QDU_M_R,AFRICA_2024_GSW_Yearly_2021_37QDU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QDU_M_R,AFRICA_2024_WorldCover_2021_37QDU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Water,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,NULL
42,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
44,NULL,NULL,Wetland,Water,Wetland,Bareland
45,NULL,NULL,Wetland,Water,Wetland,Water
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
52,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
64,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Water
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
74,NULL,NULL,Water,NULL,Water,NULL
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Bareland
77,NULL,NULL,Water,NULL,Water,Water
78,NULL,NULL,Water,Non_Water,Water,Bareland
79,NULL,NULL,Water,Water,Water,NULL
80,NULL,NULL,Water,Water,Water,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
84,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
93,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
107,NULL,Cropland,Grassland,Water,Non_Wetland,Water
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,Water,Non_Wetland,Water
117,NULL,Cropland,Wetland,Water,Wetland,Water
118,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
119,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
