Value,AFRICA_2024_DynamicWorld_2024_35PPP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPP_M_R,AFRICA_2024_GSW_Yearly_2021_35PPP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPP_M_R,AFRICA_2024_WorldCover_2021_35PPP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
67,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
68,NULL,NULL,Water,Non_Water,Water,Grassland
69,NULL,NULL,Water,Water,Water,Cropland
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
73,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
75,NULL,NULL,Forest,NULL,Non_Wetland,Water
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
83,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
94,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
95,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
98,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
99,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
100,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
101,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
109,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
116,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Wetland,NULL,Wetland,Forest
119,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
