Value,AFRICA_2024_DynamicWorld_2024_36NYN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYN_M_R,AFRICA_2024_GSW_Yearly_2021_36NYN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYN_M_R,AFRICA_2024_WorldCover_2021_36NYN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
38,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
39,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
45,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
47,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
48,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
49,NULL,NULL,Forest,NULL,Non_Wetland,Forest
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
53,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
54,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
55,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
56,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
57,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
58,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
66,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
67,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
72,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
78,NULL,Cropland,Wetland,NULL,Wetland,Grassland
79,NULL,Cropland,Wetland,NULL,Wetland,Forest
80,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
87,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
92,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
93,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
98,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
99,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
100,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
101,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
102,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
105,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
