Value,AFRICA_2024_DynamicWorld_2024_35PRN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,AFRICA_2024_WorldCover_2021_35PRN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Water,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
87,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Wetland,NULL,Wetland,Grassland
113,NULL,Cropland,Wetland,NULL,Wetland,Forest
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
