Value,AFRICA_2024_DynamicWorld_2024_36PZQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PZQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZQ_M_R,AFRICA_2024_WorldCover_2021_36PZQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
40,NULL,NULL,Wetland,NULL,Wetland,Cropland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
48,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
50,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
56,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
57,NULL,NULL,Water,Water,Water,Cropland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
63,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest
65,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
70,NULL,NULL,Forest,Water,Non_Wetland,Grassland
71,NULL,NULL,Forest,Water,Non_Wetland,Cropland
72,NULL,NULL,Forest,Water,Non_Wetland,Wetland
73,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
74,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
78,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
79,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
80,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
81,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
108,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
