Value,AFRICA_2024_DynamicWorld_2024_36NTK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTK_M_R,AFRICA_2024_GSW_Yearly_2021_36NTK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTK_M_R,AFRICA_2024_WorldCover_2021_36NTK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
33,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
37,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
41,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
42,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
43,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
44,NULL,NULL,Forest,NULL,Non_Wetland,Forest
45,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
48,NULL,NULL,Forest,Water,Non_Wetland,Grassland
49,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
50,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
51,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
56,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
59,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
60,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
63,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
64,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
67,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
68,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
69,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
70,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
71,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
72,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
79,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
81,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
84,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
85,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
87,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
90,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
94,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
95,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
97,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
98,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
99,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
100,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
101,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
102,NULL,Water,Forest,NULL,Non_Wetland,Grassland
103,NULL,Forest,NULL,NULL,Non_Wetland,NULL
104,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
105,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
106,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
107,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
108,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
109,NULL,Forest,NULL,NULL,Non_Wetland,Forest
110,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
111,NULL,Forest,NULL,Water,Non_Wetland,Grassland
112,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
