Value,AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Water,Non_Wetland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL
52,NULL,NULL,Wetland,Water,Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
67,NULL,NULL,Bareland,Water,Non_Wetland,Forest
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,Water,Water,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
82,NULL,NULL,Forest,Water,Non_Wetland,NULL
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
100,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
101,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
102,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
105,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
109,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
112,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
