Value,AFRICA_2024_DynamicWorld_2024_37PDR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDR_M_R,AFRICA_2024_GSW_Yearly_2021_37PDR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDR_M_R,AFRICA_2024_WorldCover_2021_37PDR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,Cropland
53,NULL,NULL,Wetland,Water,Wetland,Cropland
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Water,Non_Wetland,Water
73,NULL,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
83,NULL,NULL,Water,NULL,Water,NULL
84,NULL,NULL,Water,NULL,Water,Grassland
85,NULL,NULL,Water,NULL,Water,Cropland
86,NULL,NULL,Water,NULL,Water,Water
87,NULL,NULL,Water,NULL,Water,Forest
88,NULL,NULL,Water,Water,Water,NULL
89,NULL,NULL,Water,Water,Water,Grassland
90,NULL,NULL,Water,Water,Water,Cropland
91,NULL,NULL,Water,Water,Water,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
95,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
96,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
97,NULL,NULL,Forest,NULL,Non_Wetland,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest
99,NULL,NULL,Forest,Water,Non_Wetland,NULL
100,NULL,NULL,Forest,Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,Water,Non_Wetland,Cropland
102,NULL,NULL,Forest,Water,Non_Wetland,Forest
103,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
104,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
105,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
107,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
108,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
