Value,AFRICA_2024_DynamicWorld_2024_37NFG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFG_M_R,AFRICA_2024_GSW_Yearly_2021_37NFG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFG_M_R,AFRICA_2024_WorldCover_2021_37NFG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Forest
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
48,NULL,NULL,Cropland,Water,Non_Wetland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Water
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Bareland,Water,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
72,NULL,NULL,Built-up,Water,Non_Wetland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
82,NULL,NULL,Forest,Water,Non_Wetland,NULL
83,NULL,NULL,Forest,Water,Non_Wetland,Grassland
84,NULL,NULL,Forest,Water,Non_Wetland,Water
85,NULL,NULL,Forest,Water,Non_Wetland,Forest
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
87,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
89,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
102,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
105,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
106,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
107,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
108,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
109,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
111,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
113,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
115,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
117,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
119,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
