Value,AFRICA_2024_DynamicWorld_2024_36PYT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,AFRICA_2024_WorldCover_2021_36PYT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,Grassland
58,NULL,NULL,Wetland,Water,Wetland,Cropland
59,NULL,NULL,Wetland,Water,Wetland,Wetland
60,NULL,NULL,Wetland,Water,Wetland,Bareland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Wetland,Water,Wetland,Forest
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Forest
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Water
77,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
83,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
84,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,NULL
91,NULL,NULL,Forest,Water,Non_Wetland,Grassland
92,NULL,NULL,Forest,Water,Non_Wetland,Cropland
93,NULL,NULL,Forest,Water,Non_Wetland,Wetland
94,NULL,NULL,Forest,Water,Non_Wetland,Water
95,NULL,NULL,Forest,Water,Non_Wetland,Forest
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
111,NULL,Cropland,Wetland,Water,Wetland,Forest
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
114,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
118,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
119,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
