Value,AFRICA_2024_DynamicWorld_2024_38QKD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QKD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QKD_M_R,AFRICA_2024_GSW_Yearly_2021_38QKD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QKD_M_R,AFRICA_2024_WorldCover_2021_38QKD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
53,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
55,NULL,NULL,Cropland,Water,Non_Wetland,Water
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,NULL,NULL,Built-up
60,NULL,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Cropland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Bareland
66,NULL,NULL,Wetland,NULL,Wetland,Water
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,NULL,NULL
69,NULL,NULL,Wetland,Non_Water,NULL,Grassland
70,NULL,NULL,Wetland,Non_Water,NULL,Cropland
71,NULL,NULL,Wetland,Non_Water,NULL,Wetland
72,NULL,NULL,Wetland,Non_Water,NULL,Bareland
73,NULL,NULL,Wetland,Non_Water,NULL,Water
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
80,NULL,NULL,Wetland,Non_Water,Wetland,Water
81,NULL,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,NULL,Wetland,Water,NULL,NULL
83,NULL,NULL,Wetland,Water,NULL,Cropland
84,NULL,NULL,Wetland,Water,NULL,Wetland
85,NULL,NULL,Wetland,Water,NULL,Bareland
86,NULL,NULL,Wetland,Water,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL
88,NULL,NULL,Wetland,Water,Wetland,Grassland
89,NULL,NULL,Wetland,Water,Wetland,Cropland
90,NULL,NULL,Wetland,Water,Wetland,Wetland
91,NULL,NULL,Wetland,Water,Wetland,Bareland
92,NULL,NULL,Wetland,Water,Wetland,Built-up
93,NULL,NULL,Wetland,Water,Wetland,Water
94,NULL,NULL,Wetland,Water,Wetland,Forest
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
104,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
106,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
107,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
109,NULL,NULL,Bareland,NULL,Non_Wetland,Water
110,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL
120,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
121,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
