Value,AFRICA_2024_DynamicWorld_2024_37NHE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,AFRICA_2024_WorldCover_2021_37NHE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
73,NULL,NULL,Water,NULL,Water,Forest
74,NULL,NULL,Water,Non_Water,Water,Cropland
75,NULL,NULL,Water,Water,Water,Grassland
76,NULL,NULL,Water,Water,Water,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
80,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest
82,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
83,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
86,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
93,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
94,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
102,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
104,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
105,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
112,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
113,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
114,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
115,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
116,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
117,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
118,NULL,Cropland,Wetland,NULL,Wetland,Cropland
119,NULL,Cropland,Wetland,NULL,Wetland,Forest
