Value,AFRICA_2024_DynamicWorld_2024_37NCE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,AFRICA_2024_WorldCover_2021_37NCE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,Water
39,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
43,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
45,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
48,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
50,NULL,NULL,Water,NULL,Water,NULL
51,NULL,NULL,Water,NULL,Water,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
57,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
62,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
65,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
66,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
70,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
75,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
77,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
79,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
80,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
81,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
84,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
85,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
90,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
92,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
98,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
99,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
101,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
102,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
103,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
104,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
105,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
106,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
107,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
111,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Water,Grassland,NULL,Non_Wetland,NULL
113,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Water,Bareland,NULL,Non_Wetland,NULL
115,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
117,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Forest,NULL,NULL,Non_Wetland,NULL
