Value,AFRICA_2024_DynamicWorld_2024_36NXP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,AFRICA_2024_WorldCover_2021_36NXP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
53,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
55,NULL,NULL,Water,NULL,Water,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
62,NULL,NULL,Forest,NULL,Non_Wetland,Water
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
69,NULL,NULL,Forest,Water,Non_Wetland,Grassland
70,NULL,NULL,Forest,Water,Non_Wetland,Bareland
71,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
72,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
96,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
102,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
103,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
104,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
105,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
106,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
107,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
108,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
113,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
114,NULL,Wetland,Wetland,NULL,Wetland,Grassland
115,NULL,Wetland,Wetland,NULL,Wetland,Wetland
116,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
117,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
119,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
