Value,AFRICA_2024_DynamicWorld_2024_37NHF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHF_M_R,AFRICA_2024_GSW_Yearly_2021_37NHF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHF_M_R,AFRICA_2024_WorldCover_2021_37NHF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
53,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,NULL,Wetland,NULL,Wetland,NULL
56,NULL,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Cropland
58,NULL,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Cropland
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
67,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
79,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
83,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
84,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
85,NULL,NULL,Water,NULL,Water,NULL
86,NULL,NULL,Water,NULL,Water,Grassland
87,NULL,NULL,Water,Water,Water,Grassland
88,NULL,NULL,Water,Water,Water,Cropland
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL
90,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
97,NULL,NULL,Forest,Water,Non_Wetland,Grassland
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
99,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
101,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
116,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
117,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
118,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
