Value,AFRICA_2024_DynamicWorld_2024_35PPM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPM_M_R,AFRICA_2024_GSW_Yearly_2021_35PPM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPM_M_R,AFRICA_2024_WorldCover_2021_35PPM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,NULL
15,NULL,NULL,NULL,Water,Non_Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Cropland
17,NULL,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,NULL,Water,Non_Wetland,Bareland
19,NULL,NULL,NULL,Water,Non_Wetland,Water
20,NULL,NULL,NULL,Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Water
47,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL
54,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
55,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
56,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
57,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
64,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL
69,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
70,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
71,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
72,NULL,NULL,Cropland,Water,Non_Wetland,Forest
73,NULL,NULL,Wetland,NULL,Wetland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Cropland
76,NULL,NULL,Wetland,NULL,Wetland,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,Bareland
78,NULL,NULL,Wetland,NULL,Wetland,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
83,NULL,NULL,Wetland,Water,Wetland,NULL
84,NULL,NULL,Wetland,Water,Wetland,Grassland
85,NULL,NULL,Wetland,Water,Wetland,Cropland
86,NULL,NULL,Wetland,Water,Wetland,Wetland
87,NULL,NULL,Wetland,Water,Wetland,Bareland
88,NULL,NULL,Wetland,Water,Wetland,Water
89,NULL,NULL,Wetland,Water,Wetland,Forest
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,NULL,Water,NULL,Water,Grassland
112,NULL,NULL,Water,NULL,Water,Cropland
113,NULL,NULL,Water,NULL,Water,Wetland
114,NULL,NULL,Water,NULL,Water,Bareland
115,NULL,NULL,Water,Non_Water,Water,Grassland
116,NULL,NULL,Water,Water,Water,Grassland
117,NULL,NULL,Water,Water,Water,Cropland
118,NULL,NULL,Water,Water,Water,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
122,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
123,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
