Value,AFRICA_2024_DynamicWorld_2024_36PTQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PTQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTQ_M_R,AFRICA_2024_WorldCover_2021_36PTQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL
32,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
33,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
34,NULL,NULL,Wetland,Non_Water,Wetland,Forest
35,NULL,NULL,Wetland,Water,Wetland,Grassland
36,NULL,NULL,Wetland,Water,Wetland,Wetland
37,NULL,NULL,Wetland,Water,Wetland,Water
38,NULL,NULL,Wetland,Water,Wetland,Forest
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
48,NULL,NULL,Water,NULL,Water,NULL
49,NULL,NULL,Water,NULL,Water,Grassland
50,NULL,NULL,Water,NULL,Water,Wetland
51,NULL,NULL,Water,NULL,Water,Forest
52,NULL,NULL,Water,Non_Water,Water,Wetland
53,NULL,NULL,Water,Water,Water,NULL
54,NULL,NULL,Water,Water,Water,Grassland
55,NULL,NULL,Water,Water,Water,Wetland
56,NULL,NULL,Water,Water,Water,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Wetland
67,NULL,NULL,Forest,Water,Non_Wetland,Forest
68,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Wetland,NULL,Wetland,NULL
73,NULL,Cropland,Wetland,NULL,Wetland,Grassland
74,NULL,Cropland,Wetland,NULL,Wetland,Wetland
75,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
76,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
77,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
79,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
80,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
82,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
83,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
84,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
85,NULL,Wetland,NULL,Water,Non_Wetland,Forest
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
89,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
93,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
94,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
95,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
96,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
97,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
98,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
99,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
100,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
102,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
103,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
104,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
106,NULL,Wetland,Wetland,NULL,Wetland,NULL
107,NULL,Wetland,Wetland,NULL,Wetland,Grassland
108,NULL,Wetland,Wetland,NULL,Wetland,Wetland
109,NULL,Wetland,Wetland,NULL,Wetland,Forest
110,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
111,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
112,NULL,Wetland,Wetland,Water,Wetland,Wetland
113,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
114,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
115,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
116,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
117,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
118,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
119,NULL,Wetland,Water,NULL,Water,NULL
120,NULL,Wetland,Water,NULL,Water,Grassland
121,NULL,Wetland,Water,NULL,Water,Wetland
122,NULL,Wetland,Water,NULL,Water,Water
123,NULL,Wetland,Water,NULL,Water,Forest
