Value,AFRICA_2024_DynamicWorld_2024_37PBN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBN_M_R,AFRICA_2024_GSW_Yearly_2021_37PBN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBN_M_R,AFRICA_2024_WorldCover_2021_37PBN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
44,NULL,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,NULL,Wetland,Water,Wetland,Cropland
46,NULL,NULL,Wetland,Water,Wetland,Water
47,NULL,NULL,Wetland,Water,Wetland,Forest
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
68,NULL,NULL,Water,NULL,Water,NULL
69,NULL,NULL,Water,NULL,Water,Grassland
70,NULL,NULL,Water,NULL,Water,Forest
71,NULL,NULL,Water,Water,Water,Cropland
72,NULL,NULL,Water,Water,Water,Water
73,NULL,NULL,Water,Water,Water,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
78,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
79,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Forest,Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Water,Non_Wetland,Cropland
89,NULL,NULL,Forest,Water,Non_Wetland,Forest
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
91,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
98,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
110,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
111,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
