Value,AFRICA_2024_DynamicWorld_2024_36NUL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUL_M_R,AFRICA_2024_GSW_Yearly_2021_36NUL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUL_M_R,AFRICA_2024_WorldCover_2021_36NUL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Wetland,NULL,Wetland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Forest,Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Water,Non_Wetland,Wetland
81,NULL,NULL,Forest,Water,Non_Wetland,Bareland
82,NULL,NULL,Forest,Water,Non_Wetland,Forest
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
89,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Wetland,NULL,Wetland,Wetland
113,NULL,Cropland,Wetland,NULL,Wetland,Forest
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
