Value,AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,AFRICA_2024_WorldCover_2021_37PGQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Water
26,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Cropland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Bareland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
36,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
48,NULL,NULL,Water,NULL,Water,NULL
49,NULL,NULL,Water,NULL,Water,Grassland
50,NULL,NULL,Water,NULL,Water,Bareland
51,NULL,NULL,Water,NULL,Water,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
63,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
65,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
66,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
67,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
68,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
73,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
74,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
75,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
78,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
79,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
80,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
81,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
82,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
83,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
84,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
85,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
86,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
87,NULL,Wetland,Wetland,NULL,Wetland,Wetland
88,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
89,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
91,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
93,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
94,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
97,NULL,Wetland,Water,NULL,Water,Grassland
98,NULL,Wetland,Water,NULL,Water,Wetland
99,NULL,Wetland,Water,NULL,Water,Bareland
100,NULL,Wetland,Water,NULL,Water,Forest
101,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
102,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
103,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
104,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
105,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
110,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
113,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
114,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
115,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
116,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
117,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Bareland,Water,NULL,Water,Bareland
119,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
