Value,AFRICA_2024_DynamicWorld_2024_36PVT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,AFRICA_2024_WorldCover_2021_36PVT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Water,NULL,Water,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
100,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
102,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
103,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
104,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
105,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
106,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
107,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
113,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
114,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
115,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
116,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
117,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
118,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
