Value,AFRICA_2024_DynamicWorld_2024_36PUS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUS_M_R,AFRICA_2024_GSW_Yearly_2021_36PUS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUS_M_R,AFRICA_2024_WorldCover_2021_36PUS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
67,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
73,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
74,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
80,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Forest,Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Water,Non_Wetland,Wetland
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
90,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
112,NULL,Cropland,Wetland,NULL,Wetland,Grassland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
117,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
