Value,AFRICA_2024_DynamicWorld_2024_38PKR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,AFRICA_2024_WorldCover_2021_38PKR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Water,NULL,Water,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Forest,Water,Non_Wetland,Cropland
73,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
74,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
78,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
86,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
87,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
95,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
96,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
97,NULL,Cropland,Grassland,Water,Non_Wetland,Water
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
