Value,AFRICA_2024_DynamicWorld_2024_36NTM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTM_M_R,AFRICA_2024_GSW_Yearly_2021_36NTM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTM_M_R,AFRICA_2024_WorldCover_2021_36NTM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
36,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Water,Water,Water,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
45,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
47,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
48,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
49,NULL,NULL,Forest,NULL,Non_Wetland,Forest
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Forest,Water,Non_Wetland,Grassland
54,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
57,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
58,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
66,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
69,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
70,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
71,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
73,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
74,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
76,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
77,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
78,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
79,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
82,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
83,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
84,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
85,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
86,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
88,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
89,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
90,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
91,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
93,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
94,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
95,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
97,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
98,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
99,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
111,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
112,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
115,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
116,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
118,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
