Value,AFRICA_2024_DynamicWorld_2024_36PYC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYC_M_R,AFRICA_2024_GSW_Yearly_2021_36PYC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYC_M_R,AFRICA_2024_WorldCover_2021_36PYC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
31,NULL,NULL,Cropland,Water,Non_Wetland,Forest
32,NULL,NULL,Wetland,NULL,Wetland,Cropland
33,NULL,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
35,NULL,NULL,Wetland,Water,Wetland,Cropland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
50,NULL,NULL,Bareland,Water,Non_Wetland,Forest
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
56,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
57,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,Cropland
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
68,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
71,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
72,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
93,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
94,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
97,NULL,Cropland,Wetland,NULL,Wetland,Cropland
98,NULL,Cropland,Wetland,Water,Wetland,Grassland
99,NULL,Cropland,Wetland,Water,Wetland,Cropland
100,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
105,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
110,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
111,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
115,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
117,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
118,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
