Value,AFRICA_2024_DynamicWorld_2024_37NGE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGE_M_R,AFRICA_2024_GSW_Yearly_2021_37NGE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGE_M_R,AFRICA_2024_WorldCover_2021_37NGE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
58,NULL,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,NULL
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Wetland,Water,Wetland,Forest
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Bareland,Water,Non_Wetland,NULL
73,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
78,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
81,NULL,NULL,Water,NULL,Water,NULL
82,NULL,NULL,Water,NULL,Water,Grassland
83,NULL,NULL,Water,NULL,Water,Forest
84,NULL,NULL,Water,Non_Water,Water,Grassland
85,NULL,NULL,Water,Water,Water,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL
87,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
89,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
90,NULL,NULL,Forest,NULL,Non_Wetland,Forest
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Forest,Water,Non_Wetland,NULL
94,NULL,NULL,Forest,Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
99,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
100,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
101,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
111,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
112,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
120,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
