Value,AFRICA_2024_DynamicWorld_2024_35PRS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,AFRICA_2024_WorldCover_2021_35PRS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,Water,Non_Wetland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
27,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
31,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
38,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
39,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Water,NULL,Water,Grassland
45,NULL,NULL,Water,NULL,Water,Bareland
46,NULL,NULL,Water,Water,Water,Bareland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Forest
50,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
51,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
52,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
53,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
54,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
55,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
56,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
57,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
59,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
60,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
61,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
62,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
63,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
64,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
65,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
66,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
68,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
69,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
70,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
71,NULL,Bareland,Water,NULL,Water,Bareland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
73,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
79,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
80,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
81,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
90,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
92,NULL,Water,Grassland,Water,Non_Wetland,Grassland
93,NULL,Water,Grassland,Water,Non_Wetland,Bareland
94,NULL,Forest,NULL,NULL,Non_Wetland,NULL
95,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
96,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
97,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
100,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
103,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
104,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
105,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
106,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
108,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
109,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
110,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
111,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
113,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
115,NULL,Forest,Forest,NULL,Non_Wetland,NULL
116,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
117,NULL,Forest,Forest,NULL,Non_Wetland,Forest
118,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
