Value,AFRICA_2024_DynamicWorld_2024_37PHR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,AFRICA_2024_WorldCover_2021_37PHR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
5,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
8,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Bareland,NULL,Non_Wetland,Water
11,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
12,NULL,NULL,Bareland,Water,Non_Wetland,NULL
13,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
14,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
15,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
16,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
17,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,NULL,Water,Bareland
19,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
20,NULL,Bareland,Wetland,NULL,Wetland,Bareland
21,NULL,Bareland,Wetland,Water,Wetland,Bareland
22,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
23,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
24,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
25,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
26,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
27,NULL,Bareland,Water,Water,Water,Bareland
28,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
29,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
30,NULL,Water,Wetland,Water,NULL,Bareland
31,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
32,NULL,Water,Bareland,Water,Non_Wetland,Bareland
33,Grassland,NULL,Wetland,Water,Wetland,Bareland
34,Grassland,NULL,Wetland,Water,Wetland,Water
35,Grassland,Water,Wetland,NULL,Wetland,NULL
36,Grassland,Water,Wetland,NULL,Wetland,Wetland
37,Grassland,Water,Wetland,NULL,Wetland,Bareland
38,Grassland,Water,Wetland,NULL,Wetland,Water
39,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
40,Grassland,Water,Wetland,Water,Wetland,Wetland
41,Grassland,Water,Wetland,Water,Wetland,Bareland
42,Grassland,Water,Wetland,Water,Wetland,Water
43,Grassland,Water,Water,Water,NULL,Water
44,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
45,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
46,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
47,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
48,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
49,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
50,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
51,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
52,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
53,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
54,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
55,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
56,Wetland,NULL,Wetland,NULL,NULL,NULL
57,Wetland,NULL,Wetland,NULL,NULL,Wetland
58,Wetland,NULL,Wetland,NULL,NULL,Bareland
59,Wetland,NULL,Wetland,NULL,Wetland,NULL
60,Wetland,NULL,Wetland,NULL,Wetland,Wetland
61,Wetland,NULL,Wetland,NULL,Wetland,Bareland
62,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
63,Wetland,NULL,Wetland,Water,Wetland,Wetland
64,Wetland,NULL,Wetland,Water,Wetland,Bareland
65,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
67,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
68,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
69,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
70,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
71,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
72,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
73,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
74,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
75,Wetland,NULL,Water,Water,Water,Bareland
76,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
77,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
78,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
79,Wetland,Cropland,Wetland,Water,Wetland,Wetland
80,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
81,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
82,Wetland,Wetland,Wetland,NULL,Wetland,NULL
83,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
84,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
85,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
86,Wetland,Wetland,Wetland,NULL,Wetland,Water
87,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
88,Wetland,Wetland,Wetland,Water,Wetland,Wetland
89,Wetland,Bareland,Grassland,NULL,Non_Wetland,Wetland
90,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland
91,Wetland,Bareland,Cropland,NULL,Non_Wetland,NULL
92,Wetland,Bareland,Wetland,NULL,Wetland,NULL
93,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
94,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
95,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
96,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
97,Wetland,Built-up,Wetland,NULL,Wetland,NULL
98,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
99,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
100,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
101,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
102,Wetland,Water,Cropland,NULL,Non_Wetland,Cropland
103,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
104,Wetland,Water,Cropland,NULL,Non_Wetland,Bareland
105,Wetland,Water,Cropland,NULL,Non_Wetland,Water
106,Wetland,Water,Cropland,Non_Water,Non_Wetland,Wetland
107,Wetland,Water,Wetland,NULL,NULL,Wetland
108,Wetland,Water,Wetland,NULL,Wetland,NULL
109,Wetland,Water,Wetland,NULL,Wetland,Wetland
110,Wetland,Water,Wetland,NULL,Wetland,Bareland
111,Wetland,Water,Wetland,NULL,Wetland,Water
112,Wetland,Water,Wetland,NULL,Wetland,Forest
113,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
114,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
115,Wetland,Water,Wetland,Non_Water,Wetland,Water
116,Wetland,Water,Wetland,Water,NULL,Wetland
117,Wetland,Water,Wetland,Water,Wetland,Wetland
118,Wetland,Water,Wetland,Water,Wetland,Bareland
119,Wetland,Water,Wetland,Water,Wetland,Water
120,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
121,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
122,Wetland,Water,Water,Water,NULL,Water
123,Wetland,Water,Water,Water,Water,Wetland
124,Wetland,Water,Water,Water,Water,Water
125,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
126,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
127,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
128,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
129,Wetland,Forest,Cropland,NULL,Non_Wetland,Bareland
130,Wetland,Forest,Wetland,NULL,NULL,NULL
131,Wetland,Forest,Wetland,NULL,NULL,Wetland
132,Wetland,Forest,Wetland,NULL,Wetland,NULL
133,Wetland,Forest,Wetland,NULL,Wetland,Wetland
134,Wetland,Forest,Wetland,NULL,Wetland,Bareland
135,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
136,Wetland,Forest,Wetland,Water,Wetland,Wetland
137,Wetland,Forest,Bareland,NULL,Non_Wetland,Cropland
138,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
139,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
140,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
141,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
142,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
143,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
144,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
145,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
146,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
147,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
148,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
149,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
150,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
151,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
152,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
153,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
154,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
155,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
156,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
