Value,AFRICA_2024_DynamicWorld_2024_36PUB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,AFRICA_2024_WorldCover_2021_36PUB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Cropland
36,NULL,NULL,Wetland,NULL,Wetland,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL
38,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
40,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Forest
42,NULL,NULL,Wetland,Water,Wetland,Cropland
43,NULL,NULL,Wetland,Water,Wetland,Wetland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
56,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL
58,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
64,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
65,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
66,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
67,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
68,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
73,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
74,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
75,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
81,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
82,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
83,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
84,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
85,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
86,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
87,NULL,Cropland,Wetland,NULL,Wetland,Forest
88,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
89,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
93,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
94,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
95,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
98,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
102,NULL,Wetland,Wetland,NULL,Wetland,Grassland
103,NULL,Wetland,Wetland,NULL,Wetland,Cropland
104,NULL,Wetland,Wetland,NULL,Wetland,Forest
105,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
106,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
107,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
108,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
110,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
