Value,AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Water,Non_Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Cropland
50,NULL,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
61,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
70,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
81,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
89,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
102,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
103,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
106,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
107,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
113,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
115,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
116,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
117,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
118,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
