Value,AFRICA_2024_DynamicWorld_2024_35NPF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,AFRICA_2024_WorldCover_2021_35NPF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
23,NULL,NULL,Wetland,NULL,Wetland,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Forest
25,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
27,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
28,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
29,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
30,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL
32,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
34,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
35,NULL,NULL,Forest,NULL,Non_Wetland,Forest
36,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Forest,Water,Non_Wetland,NULL
40,NULL,NULL,Forest,Water,Non_Wetland,Grassland
41,NULL,NULL,Forest,Water,Non_Wetland,Wetland
42,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
43,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
44,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
45,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
46,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
47,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
48,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up
49,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
50,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
51,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
52,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up
53,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
54,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
55,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
56,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
57,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
58,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
59,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
60,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
61,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
62,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
63,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
64,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
65,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
66,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
73,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
74,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
75,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
76,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
78,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
79,NULL,Built-up,Wetland,NULL,Wetland,Forest
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
86,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
87,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
88,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
89,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
90,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
91,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
92,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
93,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
94,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
95,NULL,Water,Forest,NULL,Non_Wetland,NULL
96,NULL,Water,Forest,NULL,Non_Wetland,Grassland
97,NULL,Forest,NULL,NULL,Non_Wetland,NULL
98,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
99,NULL,Forest,NULL,NULL,Non_Wetland,Forest
100,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
101,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
105,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
106,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
107,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
108,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
109,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
110,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
111,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
112,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
114,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
115,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
117,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
118,NULL,Forest,Wetland,NULL,Wetland,NULL
119,NULL,Forest,Wetland,NULL,Wetland,Grassland
