Value,AFRICA_2024_DynamicWorld_2024_38PLV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLV_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLV_M_R,AFRICA_2024_GSW_Yearly_2021_38PLV_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLV_M_R,AFRICA_2024_WorldCover_2021_38PLV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,Water
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Cropland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,NULL,Wetland,Water,NULL,Bareland
69,NULL,NULL,Wetland,Water,Wetland,NULL
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Bareland
72,NULL,NULL,Wetland,Water,Wetland,Water
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Water,Non_Wetland,NULL
96,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
98,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
100,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,Forest
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL
115,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,NULL,Water,NULL,Water,NULL
118,NULL,NULL,Water,NULL,Water,Grassland
119,NULL,NULL,Water,NULL,Water,Bareland
120,NULL,NULL,Water,Water,NULL,Bareland
