Value,AFRICA_2024_DynamicWorld_2024_36PVA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVA_M_R,AFRICA_2024_GSW_Yearly_2021_36PVA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVA_M_R,AFRICA_2024_WorldCover_2021_36PVA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Cropland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Water,Wetland,Cropland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
89,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
93,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
99,NULL,NULL,Forest,Water,Non_Wetland,Grassland
100,NULL,NULL,Forest,Water,Non_Wetland,Cropland
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
102,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
103,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
104,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
105,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
107,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
108,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
109,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
110,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
118,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
