Value,AFRICA_2024_DynamicWorld_2024_36NVJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NVJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVJ_M_R,AFRICA_2024_WorldCover_2021_36NVJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Wetland,NULL,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL
49,NULL,NULL,Wetland,Water,Wetland,NULL
50,NULL,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Wetland
52,NULL,NULL,Wetland,Water,Wetland,Bareland
53,NULL,NULL,Wetland,Water,Wetland,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Water
65,NULL,NULL,Bareland,Water,Non_Wetland,Forest
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,NULL
73,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
74,NULL,NULL,Water,Water,Water,Wetland
75,NULL,NULL,Water,Water,Water,Water
76,NULL,NULL,Water,Water,Water,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
81,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
82,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
83,NULL,NULL,Forest,NULL,Non_Wetland,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Forest,Water,Non_Wetland,NULL
90,NULL,NULL,Forest,Water,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
92,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
97,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
98,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
99,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
110,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
111,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
113,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
114,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
115,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
