Value,AFRICA_2024_DynamicWorld_2024_37PFM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFM_M_R,AFRICA_2024_GSW_Yearly_2021_37PFM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFM_M_R,AFRICA_2024_WorldCover_2021_37PFM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,Water
59,NULL,NULL,Wetland,NULL,Wetland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Cropland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL
66,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
68,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,Water
70,NULL,NULL,Wetland,Water,Wetland,NULL
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL
94,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
96,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Water,NULL,Water,Wetland
111,NULL,NULL,Water,Non_Water,Water,Wetland
112,NULL,NULL,Water,Water,Water,Wetland
113,NULL,NULL,Water,Water,Water,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
119,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
