Value,AFRICA_2024_DynamicWorld_2024_36PVU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVU_M_R,AFRICA_2024_GSW_Yearly_2021_36PVU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVU_M_R,AFRICA_2024_WorldCover_2021_36PVU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Cropland,Water,Non_Wetland,Forest
64,NULL,NULL,Wetland,NULL,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
75,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
84,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
105,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
107,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
109,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
110,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
111,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
