Value,AFRICA_2024_DynamicWorld_2024_37PGN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGN_M_R,AFRICA_2024_GSW_Yearly_2021_37PGN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGN_M_R,AFRICA_2024_WorldCover_2021_37PGN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL
61,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
63,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
64,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
65,NULL,NULL,Wetland,NULL,Wetland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,Bareland
70,NULL,NULL,Wetland,NULL,Wetland,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,NULL
76,NULL,NULL,Wetland,Water,Wetland,Wetland
77,NULL,NULL,Wetland,Water,Wetland,Water
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL
104,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
106,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
