Value,AFRICA_2024_DynamicWorld_2024_36NWM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWM_M_R,AFRICA_2024_GSW_Yearly_2021_36NWM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWM_M_R,AFRICA_2024_WorldCover_2021_36NWM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
25,NULL,NULL,Wetland,NULL,Wetland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,Forest
27,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
29,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
32,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
33,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
35,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest
40,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
43,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
45,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
46,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
48,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
53,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
56,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
58,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
59,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
60,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
62,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
63,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
64,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
65,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
66,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
67,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
74,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
75,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
77,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
78,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
79,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
80,NULL,Forest,NULL,NULL,Non_Wetland,NULL
81,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
82,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
83,NULL,Forest,NULL,NULL,Non_Wetland,Forest
84,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
85,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
86,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
89,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
90,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
92,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
93,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
94,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
95,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
97,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
99,NULL,Forest,Wetland,NULL,Wetland,Grassland
100,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
101,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Forest,Forest,NULL,Non_Wetland,NULL
103,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
104,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
105,NULL,Forest,Forest,NULL,Non_Wetland,Forest
106,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
107,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
109,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
110,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
111,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
112,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
113,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
114,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
115,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
116,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
