Value,AFRICA_2024_DynamicWorld_2024_38NKK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKK_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKK_M_R,AFRICA_2024_GSW_Yearly_2021_38NKK_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKK_M_R,AFRICA_2024_WorldCover_2021_38NKK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Cropland,Water,Non_Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Forest
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
38,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL
46,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
47,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
53,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
54,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
55,NULL,NULL,Water,NULL,Water,Bareland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
59,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest
61,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
62,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
63,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
65,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
71,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
83,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
87,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
91,NULL,Cropland,Water,NULL,Water,Forest
92,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
93,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
96,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
97,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
98,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
105,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
106,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
107,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
110,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
111,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
113,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
114,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
115,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
116,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
117,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
118,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
