Value,AFRICA_2024_DynamicWorld_2024_37NCF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCF_M_R,AFRICA_2024_GSW_Yearly_2021_37NCF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCF_M_R,AFRICA_2024_WorldCover_2021_37NCF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Forest
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Bareland,Water,Non_Wetland,NULL
52,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
53,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
55,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
59,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
60,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Built-up,Water,Non_Wetland,NULL
62,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Water,Non_Water,Water,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
69,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Forest,Water,Non_Wetland,NULL
75,NULL,NULL,Forest,Water,Non_Wetland,Grassland
76,NULL,NULL,Forest,Water,Non_Wetland,Cropland
77,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
78,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
79,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
80,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
81,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Wetland,NULL,Wetland,Forest
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
108,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
