Value,AFRICA_2024_DynamicWorld_2024_36PYA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYA_M_R,AFRICA_2024_GSW_Yearly_2021_36PYA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYA_M_R,AFRICA_2024_WorldCover_2021_36PYA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Water,Non_Wetland,Water
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
51,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
52,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
54,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
62,NULL,NULL,Forest,NULL,Non_Wetland,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
65,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
68,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
75,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
76,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
77,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
78,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
79,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
87,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
89,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
99,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
100,NULL,Cropland,Wetland,Water,Wetland,Bareland
101,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
107,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
108,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
109,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
114,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
115,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
