Value,AFRICA_2024_DynamicWorld_2024_36QYD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,AFRICA_2024_WorldCover_2021_36QYD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,Forest
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,Water,Non_Wetland,Water
42,NULL,NULL,Cropland,Water,Non_Wetland,Forest
43,NULL,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Cropland
45,NULL,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,NULL,Wetland,NULL,Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
49,NULL,NULL,Wetland,Water,Wetland,Cropland
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Wetland,Water,Wetland,Forest
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Water,Non_Wetland,Water
76,NULL,NULL,Bareland,Water,Non_Wetland,Forest
77,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
84,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
87,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
