Value,AFRICA_2024_DynamicWorld_2024_35PRK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,AFRICA_2024_WorldCover_2021_35PRK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL
47,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,NULL,Wetland,Non_Water,Wetland,Forest
50,NULL,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Wetland
52,NULL,NULL,Wetland,Water,Wetland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,Water
64,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
65,NULL,NULL,Water,NULL,Water,Grassland
66,NULL,NULL,Water,NULL,Water,Wetland
67,NULL,NULL,Water,Non_Water,Water,Wetland
68,NULL,NULL,Water,Water,Water,Grassland
69,NULL,NULL,Water,Water,Water,Wetland
70,NULL,NULL,Water,Water,Water,Water
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
75,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
92,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
93,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
99,NULL,Cropland,Wetland,NULL,Wetland,NULL
100,NULL,Cropland,Wetland,NULL,Wetland,Grassland
101,NULL,Cropland,Wetland,NULL,Wetland,Wetland
102,NULL,Cropland,Wetland,NULL,Wetland,Built-up
103,NULL,Cropland,Wetland,NULL,Wetland,Forest
104,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
105,NULL,Cropland,Wetland,Water,Wetland,Grassland
106,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
108,NULL,Cropland,Water,Water,Water,Grassland
109,NULL,Cropland,Water,Water,Water,Wetland
110,NULL,Cropland,Water,Water,Water,Water
111,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
112,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
115,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
117,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
118,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
119,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
120,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
121,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
122,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
