Value,AFRICA_2024_DynamicWorld_2024_36NZP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZP_M_R,AFRICA_2024_GSW_Yearly_2021_36NZP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZP_M_R,AFRICA_2024_WorldCover_2021_36NZP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
17,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,Cropland
23,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
28,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
29,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
31,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL
33,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
35,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
36,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
37,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
38,NULL,NULL,Forest,NULL,Non_Wetland,Forest
39,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Forest,Water,Non_Wetland,Grassland
41,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
42,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
44,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
45,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
46,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
47,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
48,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
54,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
58,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
59,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
63,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
65,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
66,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
68,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
70,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
73,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
78,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
79,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
82,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
84,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
85,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
86,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
87,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
90,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
91,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
92,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
93,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
94,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
95,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
96,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
110,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
111,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
112,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
117,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
