Value,AFRICA_2024_DynamicWorld_2024_37PBL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBL_M_R,AFRICA_2024_GSW_Yearly_2021_37PBL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBL_M_R,AFRICA_2024_WorldCover_2021_37PBL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
40,NULL,NULL,Wetland,NULL,Wetland,Cropland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
43,NULL,NULL,Wetland,Water,Wetland,Cropland
44,NULL,NULL,Wetland,Water,Wetland,Wetland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
59,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
64,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
66,NULL,NULL,Water,Non_Water,Water,Wetland
67,NULL,NULL,Water,Water,Water,Wetland
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Forest,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,Cropland
81,NULL,NULL,Forest,Water,Non_Wetland,Wetland
82,NULL,NULL,Forest,Water,Non_Wetland,Forest
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
89,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
90,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
91,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
101,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
117,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
118,NULL,Cropland,Wetland,Water,Wetland,Cropland
119,NULL,Cropland,Wetland,Water,Wetland,Wetland
