Value,AFRICA_2024_DynamicWorld_2024_37NGH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,AFRICA_2024_WorldCover_2021_37NGH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Bareland,NULL,Non_Wetland,Water
50,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
54,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Water,NULL,Water,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest
64,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
65,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
84,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
95,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
96,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
105,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
106,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
