Value,AFRICA_2024_DynamicWorld_2024_36PZR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZR_M_R,AFRICA_2024_GSW_Yearly_2021_36PZR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZR_M_R,AFRICA_2024_WorldCover_2021_36PZR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Forest
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Bareland,NULL,Non_Wetland,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,Water,Non_Wetland,NULL
53,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
55,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
61,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
62,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
68,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
69,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Forest,Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Water,Non_Wetland,Cropland
78,NULL,NULL,Forest,Water,Non_Wetland,Forest
79,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
80,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
85,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Wetland,NULL,Wetland,Cropland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
