Value,AFRICA_2024_DynamicWorld_2024_35NNJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,AFRICA_2024_WorldCover_2021_35NNJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Wetland
62,NULL,NULL,Wetland,Water,Wetland,Built-up
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
73,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
74,NULL,NULL,Water,NULL,Water,Grassland
75,NULL,NULL,Water,NULL,Water,Forest
76,NULL,NULL,Water,Water,Water,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
81,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
82,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
83,NULL,NULL,Forest,NULL,Non_Wetland,Forest
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Forest,Water,Non_Wetland,NULL
89,NULL,NULL,Forest,Water,Non_Wetland,Grassland
90,NULL,NULL,Forest,Water,Non_Wetland,Wetland
91,NULL,NULL,Forest,Water,Non_Wetland,Forest
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
93,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Wetland,NULL,Wetland,NULL
111,NULL,Cropland,Wetland,NULL,Wetland,Forest
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
116,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
