Value,AFRICA_2024_DynamicWorld_2024_35PNN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNN_M_R,AFRICA_2024_GSW_Yearly_2021_35PNN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNN_M_R,AFRICA_2024_WorldCover_2021_35PNN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Cropland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL
65,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
68,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
69,NULL,NULL,Cropland,Water,Non_Wetland,Forest
70,NULL,NULL,Wetland,NULL,Wetland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,Forest
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL
76,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
77,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL
81,NULL,NULL,Wetland,Water,Wetland,Grassland
82,NULL,NULL,Wetland,Water,Wetland,Cropland
83,NULL,NULL,Wetland,Water,Wetland,Wetland
84,NULL,NULL,Wetland,Water,Wetland,Bareland
85,NULL,NULL,Wetland,Water,Wetland,Forest
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
103,NULL,NULL,Water,NULL,Water,NULL
104,NULL,NULL,Water,NULL,Water,Grassland
105,NULL,NULL,Water,NULL,Water,Forest
106,NULL,NULL,Water,Non_Water,Water,NULL
107,NULL,NULL,Water,Non_Water,Water,Grassland
108,NULL,NULL,Water,Non_Water,Water,Cropland
109,NULL,NULL,Water,Water,Water,NULL
110,NULL,NULL,Water,Water,Water,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL
112,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
115,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
116,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
117,NULL,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
