Value,AFRICA_2024_DynamicWorld_2024_36NXK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXK_M_R,AFRICA_2024_GSW_Yearly_2021_36NXK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXK_M_R,AFRICA_2024_WorldCover_2021_36NXK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Water
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Forest
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Bareland,Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
63,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
68,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
69,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
90,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
100,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
101,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
105,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
106,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
113,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
114,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
115,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
116,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
