Value,AFRICA_2024_DynamicWorld_2024_37PEN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,AFRICA_2024_WorldCover_2021_37PEN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Wetland,NULL,Wetland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Water
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Water,Non_Wetland,NULL
72,NULL,NULL,Water,NULL,Water,NULL
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,NULL,Water,Cropland
75,NULL,NULL,Water,NULL,Water,Bareland
76,NULL,NULL,Water,NULL,Water,Forest
77,NULL,NULL,Water,Water,Water,NULL
78,NULL,NULL,Water,Water,Water,Grassland
79,NULL,NULL,Water,Water,Water,Water
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
83,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
84,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Water,Non_Wetland,Cropland
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
91,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,NULL,Water,Non_Wetland,NULL
98,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
116,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
