Value,AFRICA_2024_DynamicWorld_2024_35NQE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQE_M_R,AFRICA_2024_GSW_Yearly_2021_35NQE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQE_M_R,AFRICA_2024_WorldCover_2021_35NQE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Wetland,NULL,Wetland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL
44,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
48,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
54,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
55,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
57,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Forest,Water,Non_Wetland,NULL
69,NULL,NULL,Forest,Water,Non_Wetland,Grassland
70,NULL,NULL,Forest,Water,Non_Wetland,Forest
71,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
72,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Wetland,NULL,Wetland,Grassland
80,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
81,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
83,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
84,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
88,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
89,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
90,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
91,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
92,NULL,Wetland,Wetland,NULL,Wetland,NULL
93,NULL,Wetland,Wetland,NULL,Wetland,Grassland
94,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
95,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
96,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
97,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
98,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
99,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
100,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
101,NULL,Wetland,Forest,Water,Non_Wetland,NULL
102,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
103,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
105,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
106,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
107,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
108,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
119,NULL,Built-up,Wetland,NULL,Wetland,Forest
