Value,AFRICA_2024_DynamicWorld_2024_37NHD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHD_M_R,AFRICA_2024_GSW_Yearly_2021_37NHD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHD_M_R,AFRICA_2024_WorldCover_2021_37NHD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,NULL
58,NULL,NULL,Wetland,Water,Wetland,Forest
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Forest
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Built-up,Water,Non_Wetland,NULL
79,NULL,NULL,Built-up,Water,Non_Wetland,Forest
80,NULL,NULL,Water,NULL,Water,NULL
81,NULL,NULL,Water,NULL,Water,Cropland
82,NULL,NULL,Water,NULL,Water,Bareland
83,NULL,NULL,Water,NULL,Water,Forest
84,NULL,NULL,Water,Water,Water,NULL
85,NULL,NULL,Water,Water,Water,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL
87,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
89,NULL,NULL,Forest,NULL,Non_Wetland,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
92,NULL,NULL,Forest,Water,Non_Wetland,NULL
93,NULL,NULL,Forest,Water,Non_Wetland,Forest
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
95,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
98,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
99,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
101,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
102,NULL,Cropland,NULL,Water,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
111,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
119,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
120,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
