Value,AFRICA_2024_DynamicWorld_2024_37NDF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDF_M_R,AFRICA_2024_GSW_Yearly_2021_37NDF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDF_M_R,AFRICA_2024_WorldCover_2021_37NDF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Cropland
60,NULL,NULL,Wetland,Water,Wetland,Bareland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,Water
73,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Water,NULL,Water,NULL
90,NULL,NULL,Water,NULL,Water,Grassland
91,NULL,NULL,Water,Non_Water,Water,Grassland
92,NULL,NULL,Water,Non_Water,Water,Cropland
93,NULL,NULL,Water,Water,Water,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
98,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
99,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
100,NULL,NULL,Forest,NULL,Non_Wetland,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
105,NULL,NULL,Forest,Water,Non_Wetland,NULL
106,NULL,NULL,Forest,Water,Non_Wetland,Cropland
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
108,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
111,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
