Value,AFRICA_2024_DynamicWorld_2024_36NWN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,AFRICA_2024_WorldCover_2021_36NWN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
34,NULL,NULL,Wetland,Water,Wetland,Wetland
35,NULL,NULL,Wetland,Water,Wetland,Forest
36,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
47,NULL,NULL,Water,NULL,Water,Wetland
48,NULL,NULL,Water,NULL,Water,Forest
49,NULL,NULL,Water,Water,Water,Wetland
50,NULL,NULL,Water,Water,Water,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
54,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
55,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Water,Non_Wetland,Wetland
63,NULL,NULL,Forest,Water,Non_Wetland,Forest
64,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
65,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
70,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Wetland,Wetland,NULL,Wetland,Wetland
75,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
76,NULL,Wetland,Water,Water,Water,Wetland
77,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
78,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
79,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
80,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
81,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
91,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
92,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
93,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
97,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
99,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
100,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
101,NULL,Built-up,Wetland,NULL,Wetland,Forest
102,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
104,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
106,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
112,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
113,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
114,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
116,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
119,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
120,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
