Value,AFRICA_2024_DynamicWorld_2024_35NQH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQH_M_R,AFRICA_2024_GSW_Yearly_2021_35NQH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQH_M_R,AFRICA_2024_WorldCover_2021_35NQH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,NULL,Wetland,Water,Wetland,NULL
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Wetland
60,NULL,NULL,Wetland,Water,Wetland,Forest
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
78,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
79,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Wetland
87,NULL,NULL,Forest,Water,Non_Wetland,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Wetland,NULL,Wetland,Grassland
104,NULL,Cropland,Wetland,NULL,Wetland,Wetland
105,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
106,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
109,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
114,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
115,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
116,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
