Value,AFRICA_2024_DynamicWorld_2024_35NPH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,AFRICA_2024_WorldCover_2021_35NPH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Wetland,NULL,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Forest
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
43,NULL,NULL,Wetland,Non_Water,Wetland,Forest
44,NULL,NULL,Wetland,Water,Wetland,NULL
45,NULL,NULL,Wetland,Water,Wetland,Grassland
46,NULL,NULL,Wetland,Water,Wetland,Wetland
47,NULL,NULL,Wetland,Water,Wetland,Forest
48,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
55,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
56,NULL,NULL,Water,NULL,Water,Grassland
57,NULL,NULL,Water,Water,Water,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
63,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest
65,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
66,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
69,NULL,NULL,Forest,Water,Non_Wetland,NULL
70,NULL,NULL,Forest,Water,Non_Wetland,Grassland
71,NULL,NULL,Forest,Water,Non_Wetland,Wetland
72,NULL,NULL,Forest,Water,Non_Wetland,Forest
73,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
74,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
80,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
83,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
84,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
89,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
90,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
91,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
92,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
93,NULL,Wetland,Wetland,NULL,Wetland,NULL
94,NULL,Wetland,Wetland,NULL,Wetland,Grassland
95,NULL,Wetland,Wetland,NULL,Wetland,Cropland
96,NULL,Wetland,Wetland,NULL,Wetland,Wetland
97,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
98,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
99,NULL,Wetland,Wetland,Water,Wetland,Wetland
100,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
101,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
102,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
103,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
104,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
105,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
107,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
108,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
112,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
