Value,AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,AFRICA_2024_WorldCover_2021_36PUQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
39,NULL,NULL,Wetland,NULL,Wetland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Wetland,Water,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,Wetland
45,NULL,NULL,Wetland,Water,Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Water,Non_Wetland,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Water,NULL,Water,NULL
60,NULL,NULL,Water,NULL,Water,Grassland
61,NULL,NULL,Water,NULL,Water,Forest
62,NULL,NULL,Water,Non_Water,Water,Grassland
63,NULL,NULL,Water,Water,Water,Grassland
64,NULL,NULL,Water,Water,Water,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
68,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest
70,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Forest,Water,Non_Wetland,NULL
75,NULL,NULL,Forest,Water,Non_Wetland,Grassland
76,NULL,NULL,Forest,Water,Non_Wetland,Wetland
77,NULL,NULL,Forest,Water,Non_Wetland,Forest
78,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
86,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Wetland,NULL,Wetland,Wetland
89,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
94,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
97,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
98,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
99,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
100,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
102,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
103,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
104,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
107,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
108,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
109,NULL,Wetland,Water,NULL,Water,Grassland
110,NULL,Wetland,Water,NULL,Water,Wetland
111,NULL,Wetland,Water,Water,Water,Grassland
112,NULL,Wetland,Water,Water,Water,Wetland
113,NULL,Wetland,Water,Water,Water,Water
114,NULL,Wetland,Water,Water,Water,Forest
115,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
116,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
117,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
118,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
119,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
120,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
121,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
