Value,AFRICA_2024_DynamicWorld_2024_36NZM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZM_M_R,AFRICA_2024_GSW_Yearly_2021_36NZM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZM_M_R,AFRICA_2024_WorldCover_2021_36NZM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
53,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
72,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,NULL
91,NULL,NULL,Forest,Water,Non_Wetland,Grassland
92,NULL,NULL,Forest,Water,Non_Wetland,Wetland
93,NULL,NULL,Forest,Water,Non_Wetland,Forest
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
95,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
99,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
