Value,AFRICA_2024_DynamicWorld_2024_36NZL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZL_M_R,AFRICA_2024_GSW_Yearly_2021_36NZL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZL_M_R,AFRICA_2024_WorldCover_2021_36NZL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
84,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,Forest
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
97,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
98,NULL,NULL,Water,NULL,Water,Wetland
99,NULL,NULL,Water,Non_Water,Water,Grassland
100,NULL,NULL,Water,Non_Water,Water,Wetland
101,NULL,NULL,Water,Water,Water,Wetland
102,NULL,NULL,Water,Water,Water,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Wetland
116,NULL,NULL,Forest,Water,Non_Wetland,Forest
117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
118,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
