Value,AFRICA_2024_DynamicWorld_2024_38PLT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLT_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLT_M_R,AFRICA_2024_GSW_Yearly_2021_38PLT_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLT_M_R,AFRICA_2024_WorldCover_2021_38PLT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Wetland,NULL,NULL,Wetland
63,NULL,NULL,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,Water
70,NULL,NULL,Wetland,Non_Water,NULL,Wetland
71,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
75,NULL,NULL,Wetland,Water,NULL,Wetland
76,NULL,NULL,Wetland,Water,NULL,Bareland
77,NULL,NULL,Wetland,Water,Wetland,NULL
78,NULL,NULL,Wetland,Water,Wetland,Grassland
79,NULL,NULL,Wetland,Water,Wetland,Cropland
80,NULL,NULL,Wetland,Water,Wetland,Wetland
81,NULL,NULL,Wetland,Water,Wetland,Bareland
82,NULL,NULL,Wetland,Water,Wetland,Water
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
96,NULL,NULL,Bareland,NULL,Non_Wetland,Water
97,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL
104,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
106,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
