Value,AFRICA_2024_DynamicWorld_2024_37PGM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGM_M_R,AFRICA_2024_GSW_Yearly_2021_37PGM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGM_M_R,AFRICA_2024_WorldCover_2021_37PGM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL
57,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
58,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,NULL,Wetland,Water,Wetland,Cropland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
83,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
84,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
97,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
98,NULL,NULL,Water,NULL,Water,Grassland
99,NULL,NULL,Water,NULL,Water,Wetland
100,NULL,NULL,Water,Non_Water,Water,Wetland
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
111,NULL,NULL,Forest,Water,Non_Wetland,NULL
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Cropland
114,NULL,NULL,Forest,Water,Non_Wetland,Wetland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
