Value,AFRICA_2024_DynamicWorld_2024_38PKA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKA_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKA_M_R,AFRICA_2024_GSW_Yearly_2021_38PKA_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKA_M_R,AFRICA_2024_WorldCover_2021_38PKA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Bareland
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Bareland,Water,Non_Wetland,NULL
53,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
55,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
59,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
60,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
